session;ordre;eurio_id;numista_id;strate;condition;n_captures;fond;passe;pays;annee;titre;n_fps_banque;n_gold_review
2;2;be-2012-2eur-10-years-of-euro-cash;28325;moyenne;tilt;2;papier-blanc;1;BE;2012;10 Years Of Euro Cash;1;1
2;3;be-2012-2eur-10-years-of-euro-cash;28325;moyenne;dim;2;bois-clair;1;BE;2012;10 Years Of Euro Cash;1;1
2;4;gr-2004-2eur-xxviiith-olympic-games-2004-in-athens;2190;canonique;inhand;3;bois-clair;1;GR;2004;Xxviiith Olympic Games 2004 In Athens;0;0
2;5;gr-2004-2eur-xxviiith-olympic-games-2004-in-athens;2190;canonique;glare;3;papier-blanc;1;GR;2004;Xxviiith Olympic Games 2004 In Athens;0;0
2;6;gr-2004-2eur-xxviiith-olympic-games-2004-in-athens;2190;canonique;bright;3;bois-clair;1;GR;2004;Xxviiith Olympic Games 2004 In Athens;0;0
2;7;fi-2012-2eur-150th-birthday-of-helene-schjerfbeck;38356;riche;glare;2;table-sombre;1;FI;2012;150Th Birthday Of Helene Schjerfbeck;9;45
2;8;fi-2012-2eur-150th-birthday-of-helene-schjerfbeck;38356;riche;bright;2;tissu-gris;1;FI;2012;150Th Birthday Of Helene Schjerfbeck;9;45
2;9;fi-2012-2eur-150th-birthday-of-helene-schjerfbeck;38356;riche;inhand;2;table-sombre;1;FI;2012;150Th Birthday Of Helene Schjerfbeck;9;45
2;10;at-2018-2eur-100-years-republic-of-austria;131199;moyenne;inhand;2;bois-clair;1;AT;2018;100 Years Republic Of Austria;6;27
2;11;at-2018-2eur-100-years-republic-of-austria;131199;moyenne;glare;2;papier-blanc;1;AT;2018;100 Years Republic Of Austria;6;27
2;12;at-2018-2eur-100-years-republic-of-austria;131199;moyenne;dim;2;bois-clair;1;AT;2018;100 Years Republic Of Austria;6;27
2;13;nl-2007-2eur-standard-beatrix-2nd-map;6481;hors_banque;tilt;3;table-sombre;1;NL;2007;Standard Beatrix 2Nd Map;0;0
2;14;nl-2007-2eur-standard-beatrix-2nd-map;6481;hors_banque;inhand;3;tissu-gris;1;NL;2007;Standard Beatrix 2Nd Map;0;0
2;15;nl-2007-2eur-standard-beatrix-2nd-map;6481;hors_banque;glare;3;table-sombre;1;NL;2007;Standard Beatrix 2Nd Map;0;0
2;16;fr-2013-2eur-50th-anniversary-of-the-elysee-treaty;41904;canonique;dim;3;tissu-gris;1;FR;2013;50Th Anniversary Of The Elysee Treaty;0;1
2;17;fr-2013-2eur-50th-anniversary-of-the-elysee-treaty;41904;canonique;inhand;3;table-sombre;1;FR;2013;50Th Anniversary Of The Elysee Treaty;0;1
2;18;fr-2013-2eur-50th-anniversary-of-the-elysee-treaty;41904;canonique;bright;3;tissu-gris;1;FR;2013;50Th Anniversary Of The Elysee Treaty;0;1
2;19;es-1999-2eur-standard-juan-carlos-i-1st-type-1st-map;88;riche;glare;2;bois-clair;1;ES;1999;Standard Juan Carlos I 1St Type 1St Map;10;22
2;20;es-1999-2eur-standard-juan-carlos-i-1st-type-1st-map;88;riche;dim;2;papier-blanc;1;ES;1999;Standard Juan Carlos I 1St Type 1St Map;10;22
2;21;es-1999-2eur-standard-juan-carlos-i-1st-type-1st-map;88;riche;inhand;2;bois-clair;1;ES;1999;Standard Juan Carlos I 1St Type 1St Map;10;22
2;22;fr-2015-2eur-70th-anniversary-of-the-end-of-world-war-ii;69366;canonique;tilt;3;bois-clair;1;FR;2015;70Th Anniversary Of The End Of World War Ii;0;2
2;23;fr-2015-2eur-70th-anniversary-of-the-end-of-world-war-ii;69366;canonique;dim;3;papier-blanc;1;FR;2015;70Th Anniversary Of The End Of World War Ii;0;2
2;24;fr-2015-2eur-70th-anniversary-of-the-end-of-world-war-ii;69366;canonique;inhand;3;bois-clair;1;FR;2015;70Th Anniversary Of The End Of World War Ii;0;2
2;25;ee-2011-2eur-standard-2nd-map;16593;moyenne;glare;2;papier-blanc;1;EE;2011;Standard 2Nd Map;1;1
2;26;ee-2011-2eur-standard-2nd-map;16593;moyenne;tilt;2;bois-clair;1;EE;2011;Standard 2Nd Map;1;1
2;27;ee-2011-2eur-standard-2nd-map;16593;moyenne;inhand;2;papier-blanc;1;EE;2011;Standard 2Nd Map;1;1
2;28;lv-2016-2eur-latvian-farming-and-countryside;85889;canonique;inhand;3;bois-clair;1;LV;2016;Latvian Farming And Countryside;0;0
2;29;lv-2016-2eur-latvian-farming-and-countryside;85889;canonique;dim;3;papier-blanc;1;LV;2016;Latvian Farming And Countryside;0;0
2;30;lv-2016-2eur-latvian-farming-and-countryside;85889;canonique;glare;3;bois-clair;1;LV;2016;Latvian Farming And Countryside;0;0
2;31;be-2011-2eur-100th-international-womens-day;19734;riche;inhand;2;table-sombre;1;BE;2011;100Th International Womens Day;10;40
2;32;be-2011-2eur-100th-international-womens-day;19734;riche;bright;2;tissu-gris;1;BE;2011;100Th International Womens Day;10;40
2;33;be-2011-2eur-100th-international-womens-day;19734;riche;dim;2;table-sombre;1;BE;2011;100Th International Womens Day;10;40
2;34;de-2019-2eur-30-years-of-the-fall-of-the-berlin-wall;180626;moyenne;dim;2;papier-blanc;1;DE;2019;30 Years Of The Fall Of The Berlin Wall;1;1
2;35;de-2019-2eur-30-years-of-the-fall-of-the-berlin-wall;180626;moyenne;bright;2;bois-clair;1;DE;2019;30 Years Of The Fall Of The Berlin Wall;1;1
2;36;de-2019-2eur-30-years-of-the-fall-of-the-berlin-wall;180626;moyenne;inhand;2;papier-blanc;1;DE;2019;30 Years Of The Fall Of The Berlin Wall;1;1
2;37;it-2013-2eur-200th-anniversary-of-the-birth-of-giuseppe-verdi;45254;canonique;bright;3;bois-clair;1;IT;2013;200Th Anniversary Of The Birth Of Giuseppe Verdi;0;1
2;38;it-2013-2eur-200th-anniversary-of-the-birth-of-giuseppe-verdi;45254;canonique;dim;3;papier-blanc;1;IT;2013;200Th Anniversary Of The Birth Of Giuseppe Verdi;0;1
2;39;it-2013-2eur-200th-anniversary-of-the-birth-of-giuseppe-verdi;45254;canonique;tilt;3;bois-clair;1;IT;2013;200Th Anniversary Of The Birth Of Giuseppe Verdi;0;1
3;1;de-2002-2eur-standard-1st-map;112;riche;dim;2;table-sombre;1;DE;2002;Standard 1St Map;10;11
3;2;de-2002-2eur-standard-1st-map;112;riche;tilt;2;tissu-gris;1;DE;2002;Standard 1St Map;10;11
3;3;de-2002-2eur-standard-1st-map;112;riche;bright;2;table-sombre;1;DE;2002;Standard 1St Map;10;11
3;4;de-2018-2eur-state-of-berlin;132935;canonique;glare;3;tissu-gris;1;DE;2018;State Of Berlin;0;0
3;5;de-2018-2eur-state-of-berlin;132935;canonique;bright;3;table-sombre;1;DE;2018;State Of Berlin;0;0
3;6;de-2018-2eur-state-of-berlin;132935;canonique;dim;3;tissu-gris;1;DE;2018;State Of Berlin;0;0
3;7;gr-2002-2eur-standard-1st-map;120;moyenne;bright;2;table-sombre;1;GR;2002;Standard 1St Map;1;1
3;8;gr-2002-2eur-standard-1st-map;120;moyenne;tilt;2;tissu-gris;1;GR;2002;Standard 1St Map;1;1
3;9;gr-2002-2eur-standard-1st-map;120;moyenne;dim;2;table-sombre;1;GR;2002;Standard 1St Map;1;1
3;10;be-2009-2eur-standard-albert-ii-2nd-map-2nd-type-1st-portrait;6311;hors_banque;glare;3;tissu-gris;1;BE;2009;Standard Albert Ii 2Nd Map 2Nd Type 1St Portrait;0;9
3;11;be-2009-2eur-standard-albert-ii-2nd-map-2nd-type-1st-portrait;6311;hors_banque;dim;3;table-sombre;1;BE;2009;Standard Albert Ii 2Nd Map 2Nd Type 1St Portrait;0;9
3;12;be-2009-2eur-standard-albert-ii-2nd-map-2nd-type-1st-portrait;6311;hors_banque;bright;3;tissu-gris;1;BE;2009;Standard Albert Ii 2Nd Map 2Nd Type 1St Portrait;0;9
3;13;sk-2018-2eur-25th-anniversary-of-the-establishment-of-the-slovak-republic;131970;canonique;glare;3;table-sombre;1;SK;2018;25Th Anniversary Of The Establishment Of The Slovak Republic;0;0
3;14;sk-2018-2eur-25th-anniversary-of-the-establishment-of-the-slovak-republic;131970;canonique;dim;3;tissu-gris;1;SK;2018;25Th Anniversary Of The Establishment Of The Slovak Republic;0;0
3;15;sk-2018-2eur-25th-anniversary-of-the-establishment-of-the-slovak-republic;131970;canonique;bright;3;table-sombre;1;SK;2018;25Th Anniversary Of The Establishment Of The Slovak Republic;0;0
3;16;fr-2016-2eur-euro-2016-football-championship;82237;riche;bright;2;papier-blanc;1;FR;2016;Euro 2016 Football Championship;10;25
3;17;fr-2016-2eur-euro-2016-football-championship;82237;riche;tilt;2;bois-clair;1;FR;2016;Euro 2016 Football Championship;10;25
3;18;fr-2016-2eur-euro-2016-football-championship;82237;riche;dim;2;papier-blanc;1;FR;2016;Euro 2016 Football Championship;10;25
3;19;es-2010-2eur-standard-juan-carlos-i-2nd-type-2nd-map;10862;moyenne;inhand;2;papier-blanc;1;ES;2010;Standard Juan Carlos I 2Nd Type 2Nd Map;4;9
3;20;es-2010-2eur-standard-juan-carlos-i-2nd-type-2nd-map;10862;moyenne;glare;2;bois-clair;1;ES;2010;Standard Juan Carlos I 2Nd Type 2Nd Map;4;9
3;21;es-2010-2eur-standard-juan-carlos-i-2nd-type-2nd-map;10862;moyenne;dim;2;papier-blanc;1;ES;2010;Standard Juan Carlos I 2Nd Type 2Nd Map;4;9
3;22;it-2011-2eur-150th-anniversary-of-italian-unification;20892;canonique;tilt;3;table-sombre;1;IT;2011;150Th Anniversary Of Italian Unification;0;2
3;23;it-2011-2eur-150th-anniversary-of-italian-unification;20892;canonique;dim;3;tissu-gris;1;IT;2011;150Th Anniversary Of Italian Unification;0;2
3;24;it-2011-2eur-150th-anniversary-of-italian-unification;20892;canonique;bright;3;table-sombre;1;IT;2011;150Th Anniversary Of Italian Unification;0;2
3;25;es-2015-2eur-standard-felipe-vi;69470;riche;glare;2;table-sombre;1;ES;2015;Standard Felipe Vi;10;30
3;26;es-2015-2eur-standard-felipe-vi;69470;riche;tilt;2;tissu-gris;1;ES;2015;Standard Felipe Vi;10;30
3;27;es-2015-2eur-standard-felipe-vi;69470;riche;bright;2;table-sombre;1;ES;2015;Standard Felipe Vi;10;30
