# Cohorte de prescription du corpus de scan (P5) — générée par
# ml/scripts/build_scan_prescription.py. Une ligne par classe.
eurio_id;numista_id;display_name
it-2016-2eur-2200th-anniversary-of-the-death-of-plautus;84714;2200Th Anniversary Of The Death Of Plautus
it-2016-2eur-550th-anniversary-of-the-death-of-donatello;82330;550Th Anniversary Of The Death Of Donatello
it-2017-2eur-bimillenary-of-the-death-of-titus-livius;107085;Bimillenary Of The Death Of Titus Livius
lt-2017-2eur-vilnius-capital-of-culture-and-art;116893;Vilnius Capital Of Culture And Art
lu-2016-2eur-50-years-of-grand-duchess-charlotte-bridge;84907;50 Years Of Grand Duchess Charlotte Bridge
lu-2017-2eur-200th-anniversary-of-the-birth-of-william-iii;126563;200Th Anniversary Of The Birth Of William Iii
lu-2017-2eur-the-50th-anniversary-of-the-voluntariness-of-the-luxembourg-army;100577;The 50Th Anniversary Of The Voluntariness Of The Luxembourg Army
lv-2016-2eur-latvian-farming-and-countryside;85889;Latvian Farming And Countryside
mc-2009-2eur-standard-albert-ii-2nd-map;15757;Standard Albert Ii 2Nd Map
nl-1999-2eur-standard-beatrix-1st-map;152;Standard Beatrix 1St Map
nl-2007-2eur-standard-beatrix-2nd-map;6481;Standard Beatrix 2Nd Map
nl-2011-2eur-erasmus-500th-anniversary-of-the-praise-of-folly;19021;Erasmus 500Th Anniversary Of The Praise Of Folly
pt-2016-2eur-portuguese-olympic-team-for-rio-2016;84061;Portuguese Olympic Team For Rio 2016
sk-2009-2eur-standard-1st-type;5091;Standard 1St Type
sk-2018-2eur-25th-anniversary-of-the-establishment-of-the-slovak-republic;131970;25Th Anniversary Of The Establishment Of The Slovak Republic
