asset_id,crop_path,raw_path,eurio_id,country,year,face_value,is_commemorative,detection_method,fill_ratio,r_pipe,r_probe,r_ratio,bimetal_inner_ring,is_light_bg,is_bimetal_coin,bucket,crop_class,n_coins_in_img,coin_frac,listing_type,dino_sim,dino_class,axis_ratio,tilt_deg,tilt_trustworthy
dc1b7e96dbe1486b91ee3549073c0a12,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/dc1b7e96dbe1486b91ee3549073c0a12.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/7c0a2acfa16e45f380fb70f6d26ff4e7.jpg,es-2016-2eur-old-town-of-segovia-and-its-aqueduct,ES,2016,2.0,1,yolo+hough+rimrefine,0.9738,238,271.13275146484375,0.8778,0,1,1,bimetal_light,ok,2,0.1983,multi_tight,0.7548,good,0.9733,13.26,0
37a1d989ed6e4899baa70d6a14c4da2f,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/37a1d989ed6e4899baa70d6a14c4da2f.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/55b80511ad6f4bac9b43784a094b6386.jpg,fi-2017-2eur-100-years-of-independence,FI,2017,2.0,1,yolo+hough+rimrefine,0.9611,104,,,0,1,1,bimetal_light,ok,2,0.118,multi_small,0.6852,good,0.9759,12.61,0
a663b55453fd472f95cba9ff4967503e,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/a663b55453fd472f95cba9ff4967503e.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/1c26d35fccc448b394c09b420d2d8e7d.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+rimrefine,0.9683,239,,,0,1,1,bimetal_light,ok,7,0.2236,multi_tight,0.6587,good,0.9893,8.40,0
3719cd6fa5e34ffbbeb22599f07b35c2,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/3719cd6fa5e34ffbbeb22599f07b35c2.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/c645c7c84a084f2f80afcc066bb96240.jpg,fi-2017-2eur-100-years-of-independence,FI,2017,2.0,1,yolo+hough+rimrefine,0.9685,122,,,0,0,1,bimetal_textured,ok,25,0.0906,multi_small,0.8454,good,0.9692,14.26,1
6519c5afee3d430a925cfb6bd9598dc1,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/6519c5afee3d430a925cfb6bd9598dc1.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/4539b9db1d52489b9787cfe48f7dcc49.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+rimrefine,0.9165,193,209.618408203125,0.9207,0,1,1,bimetal_light,ok,5,0.1655,multi_small,0.6019,suspect,0.9869,9.27,0
31eb4921e9c54ba09000aca54e111986,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/31eb4921e9c54ba09000aca54e111986.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/0a608c6e218e4ed3b9cd8f46e2cbc214.jpg,at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty,AT,2005,2.0,1,yolo+hough+rimrefine,0.9823,58,,,0,1,1,bimetal_light,ok,7,0.1298,multi_small,0.7008,good,0.9013,25.67,1
20020b3911ac47ef84143428d0718247,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/20020b3911ac47ef84143428d0718247.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/10f258721c2944fba8436cf908096bad.jpg,it-2016-2eur-2200th-anniversary-of-the-death-of-plautus,IT,2016,2.0,1,yolo+hough+rimrefine,1.0075,169,189.600341796875,0.8913,0,0,1,bimetal_textured,ok,5,0.1056,multi_small,0.7447,good,0.9582,16.62,1
6c569bcd3ca3482a8d43ca55b49f1315,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/6c569bcd3ca3482a8d43ca55b49f1315.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/bb459ef3e6e142aa815351a004372553.jpg,,,,,0,yolo+hough+rimrefine,0.9692,113,,,0,1,0,mono_light,ok,1,0.1329,single_small,,unknown,0.9686,14.41,1
3366c9552fe746ed8fed2c0d4b74457d,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/3366c9552fe746ed8fed2c0d4b74457d.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/23bf3f33b64548b686fd6912345eaa64.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+rimrefine,0.9691,123,127.13543701171875,0.9675,0,0,1,bimetal_textured,ok,4,0.1025,multi_small,0.6897,good,0.9267,22.07,1
d4b33edb82324caeb4b09a10f447f380,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/d4b33edb82324caeb4b09a10f447f380.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/c9553343f300486fb4fa4ea7d72b53d6.jpg,,,,,0,yolo+hough+rimrefine,0.971,79,,,0,1,0,mono_light,ok,5,0.1082,multi_small,,unknown,0.9780,12.05,0
